211441	cercetator in cadastru
211442	inginer de cercetare in cadastru
211443	asistent de cercetare in cadastru
211444	cercetator stiintific in domeniul hidrologiei
211445	asistent de cercetare stiintifica in domeniul
211446	hidrogeolog
212001	consilier matematician
212002	expert matematician
212003	inspector de specialitate matematician
212004	referent de specialitate matematician
212005	consilier actuar
212006	expert actuar
212007	inspector de specialitate actuar
212008	referent de specialitate actuar
212009	matematician
212010	actuar (studii superioare)
212011	consilier statistician
212012	expert statistician
212013	inspector de specialitate statistician
212014	referent de specialitate statistician
212015	cercetator in matematica
212016	asistent de cercetare in matematica
212017	cercetator in matematica mecanica
212018	asistent de cercetare in matematica
212019	cercetator in matematica aplicata
212020	asistent de cercetare in matematica aplicata
212021	cercetator in matematica-fizica
212022	asistent de cercetare in matematica-fizica
212023	cercetator in matematica informatica
212024	asistent de cercetare in matematica
212025	cercetator in statistica
212026	asistent de cercetare in statistica
212027	cercetator in demografie
212028	asistent de cercetare in demografie
213101	consilier biolog
213102	expert biolog
213103	inspector de specialitate biolog
213104	referent de specialitate biolog
213105	consilier botanist
213106	expert botanist
213107	inspector de specialitate botanist
213108	referent de specialitate botanist
213109	consilier zoolog
213110	expert zoolog
213111	inspector de specialitate zoolog
213112	referent de specialitate zoolog
213113	consilier ecolog
213114	biolog
213115	zoolog
213116	botanist
213117	consilier bacteriolog
213118	expert bacteriolog
213119	inspector de specialitate bacteriolog
213120	referent de specialitate bacteriolog
213121	consilier biochimist
213122	expert biochimist
213123	inspector de specialitate biochimist
213124	referent de specialitate biochimist
213125	consilier farmacolog
213126	expert farmacolog
213127	inspectorde specialitate farmacolog
213128	referent de specialitate farmacolog
213129	consilier microbiolog
213130	expert microbiolog
213131	inspector de specialitate microbiolog
213132	referent de specialitate microbiolog
213133	farmacolog
213134	bacteriolog
213135	microbiolog
213136	cercetator in biologie
213137	asistent de cercetare in biologie
213138	cercetator in microbiologie- bacteriologie
213139	asistent de cercetare in microbiologie
213140	cercetator in biologie chimie
213141	asistent de cercetare in biologie chimie
213142	cercetator in botanica
213143	asistent de cercetare in botanica
213144	cercetator in domeniul zoologic
213145	asistent de cercetare in domeniul zoologic
213146	cercetator in ecologie si protectia mediului
213147	asistent de cercetare in ecologie si protectia
213148	cercetator in ingineria genetica
213149	asistent de cercetare in ingineria genetica
213150	cercetator in antropologie biologica
213151	asistent de cercetare in antropologie bilogica
213152	inginer biotehnolog
213153	cercetator in bioinformatica
213201	consilier inginer agronom
213202	expert inginer agronom
213203	inspector de specialitate inginer agronom
213204	referent de specialitate inginer agronom
213205	consilier inginer horticol
213206	expert inginer horticol
213207	inspector de specialitate inginer horticol
213208	referent de specialitate inginer horticol
213209	consilier inginer zootehnist
213210	expert inginer zootehnist
213211	inspector de specialitate inginer zootehnist
213212	referent de specialitate inginer zootehnist
213213	subinginer agronom
213214	subinginer zootehnist
213215	inginer tehnolog in zootehnie
213216	proiectant inginer in agricultura
213217	proiectant inginer in zootehnie
213218	proiectant inginer in silvicultura
213219	consilier inginer silvic
213220	expert inginer silvic
213221	inspector de specialitate inginer silvic
213222	referent de specialitate inginer silvic
213223	inginer imbunatatiri funciare
213224	inginer/subinginer silvic
213225	inginer agronom
213226	inginer zootehnist
213227	consultant tehnic in productia de cereale
213228	subinginer imbunatatiri funciare
213229	agent agricol
213230	inginer horticultor
213231	padurar
213232	tehnician agronom-exploatare
213233	tehnician zootehnist-exploatare
213234	tehnician silvic-exploatare
213235	clasificator carcase
213236	bonitor la animalele de ferma
213237	administrator bunuri agricole
213238	consultant afaceri in agricultura
213239	cercetator in agricultura
213240	inginer de cercetare in agricultura
213241	asistent de cercetare in agricultura
213242	inginer de cercetare in pedologie-agrochimie
213243	asistent de cercetare in pedologie
213244	cercetator in pedologie-agrochimie
213245	cercetator in horticultura
213246	inginer de cercetare in horticultura
213247	asistent de cercetare in horticultura
213248	cercetator in agromontanologie
213249	inginer de cercetare in agromontanologie
213250	asistent de cercetare in agromontanologie
213251	cercetator in silvicultura
213252	inginer de cercetare in silvicultura
213253	asistent de cercetare in silvicultura
213254	cercetator in zootehnie
213255	asistent de cercetare in zootehnie
213256	cercetator in biotehnologie pentru
213257	asistent de cercetare in biotehnologie pentru
213301	expert ecolog
213302	inspectorde specialitate ecolog
213303	referent de specialitate ecolog
213304	inginer ecolog
213305	ecolog
213306	specialist arii protejate
213307	inspector de specialitate in gospodarirea
213308	si mutata prin ORD
213309	specialist in management si remediere situri
213310	specialist in managementul deseurilor
213311	auditor de mediu
213312	manager al sistemelor de management de
214101	inginer confectii piele si inlocuitori
214102	inginer textile, pielarie
214103	inginer tricotaje, confectii
214104	subinginer textile, pielarie
214105	proiectant inginer textile, pielarie
214106	consilier inginer textile, pielarie
214107	expert inginer textile, pielarie
214108	inspector specialitate inginer textile, pielarie
214109	referent de specialitate inginer textile
214110	conceptor/conceptor CAO
214111	specialist incercari componente
214112	specialist documentatie studii
214113	instructor sistem de productie
214114	metodist
214115	responsabil afacere
214116	manager de cladire
214117	inginer industrializarea lemnului
214118	subinginer industrializarea lemnului
214119	consilier inginer industrializarea lemnului
214120	expert inginer industrializarea lemnului
214121	inspector de specialitate inginer
214122	referent de specialitate inginer
214123	cercetator in tehnologia prelucrarii
214124	inginer de cercetare in tehnologia prelucrarii
214125	asistent .de cercetare in tehnologia
214126	cercetator in pescuit si acvacultura
214127	inginer de cercetare in pescuit si acvacultura
214128	asistent de cercetare in pescuit si acvacultura
214129	specialist in domeniul calitatii
214130	auditor in domeniul calitatii
214131	analist calitate
214132	analist masuratori metrologice
214133	analist studiul materialelor
214134	consuitant sistem de calitate
214135	logistician gestiune flux
214136	programator fabricatie/lansator fabricatie
214137	documentarist ordonantare logistica
214138	auditor energetic pentru cladiri
214139	auditor in managementul riscului
214140	specialist in managementul riscului
214141	auditor/evaluator sisteme de management
214142	inginer in productia alimentara
214143	inginer mentenanta si reparatii
214144	inginer transporturi rutiere de marfuri
214145	inginer transporturi rutiere de persoane
214201	inginer constructii civile, industriale si
214202	subinginer constructii civile, industriale si
214203	inginer instalatii pentru constructii
214204	inginer cai ferate, drumuri si poduri
214205	inginer constructii hidrotehnice
214206	inginer constructor instalatii
214207	proiectant inginer instalatii
214208	proiectant inginer constructii
214209	consilier inginer constructii
214210	expert inginer constructii
214211	inspector de specialitate inginer constructii
214212	referent de specialitate inginer constructii
214213	conducator de lucrari civile
214214	diriginte santier (studii superioare)
214215	cercetator in constructii civile, industriale si
214216	inginer de cercetare in constructii civile
214217	asistent de cercetare in constructii civile
214218	cercetator in constructii de cai ferate
214219	inginer de cercetare in constructii de cai
214220	asistent de cercetare in constructii de cai
214221	cercetator in constructii hidrotehnice
214222	inginer de cercetare in constructii
214223	asistent de cercetare in constructii
214224	inginer de cercetare in ingineria sanitara si
214225	cercetator in constructii miniere
214226	inginer de cercetare in constructii miniere
214227	asistent de cercetare in constructii miniere
214228	cercetator in instalatii
214229	inginer de cercetare in instalatii
214230	asistent de cercetare in instalatii
214231	cercetator in stiinta si ingineria materialelor
214232	inginer de cercetare in ingineria materialelor
214233	asistent de cercetare in ingineria materialelor
214234	responsabil tehnic cu urmarirea curenta a
214235	specialist in urmarirea comportarii
214236	expert in monitorizarea comportarii
214237	specialist in iluminat
214238	administrator port
214239	responsabil tehnic cu executia
214240	inginer geotehnician in constructii miniere
214301	cercetator in centrale hidroelectrice in
214302	inginer de cercetare in centrale
214303	asistent de cercetare in centrale
214304	inginer protectia mediului in energetica
214305	inginer tehnolog in protectia mediului
214306	inginer pentru controlul poluarii mediului
214307	inginer in gestiunea integrata a deseurilor
214308	inginer tehnologii informatice in protectia
214309	inginer de cercetare in protectia mediului
214310	inginer sisteme informatice pentru instalatii
214311	inginer auditor/evaluator sisteme de
214312	specialist in reciclarea deseurilor
214401	inginer mecanic
214402	subinginer mecanic
214403	inginer electromecanic minier
214404	inginer material rulant cale ferata
214405	inginer mecanica agricola
214406	inginer aviatie
214407	inginer nave
214408	inginer masini-unelte
214409	inginer mecanica fina
214410	inginer masini termice
214411	inginer masini hidraulice si pneumatice
214412	inginer autovehicule rutiere
214413	inginer mecanic utilaj tehnologic chimic
214414	inginer mecanic utilaj tehnologic petrolier
214415	inginer mecanic utilaj tehnologic masini
214416	inginer mecanic utilaj tehnologic textil
214417	inginer mecanic utilaj tehnologic pentru
214418	inginer mecanic utilaj tehnologic pentru
214419	inginer mecanic masini instalatii miniere
214420	subinginer mecanic tehnologia constructiilor
214421	subinginer mecanic utilaje si tehnica sudurii
214422	subinginer mecanic, mecanica fina
214423	subinginer mecanic material rulant de cale
214424	subinginer mecanic mecanica agricola
214425	subinginer mecanic utilaj tehnologic pentru
214426	subinginer mecanic utilaje pentru constructii
214427	subinginer mecanic avioane si motoare de
214428	subinginer mecanic constructii corp de nava
214429	subinginer mecanic instalatii navale de bord
214430	subinginer mecanic automobile
214431	subinginer mecanic utilaje pentru industria
214432	subinginer mecanic utilaje pentru materiale
214433	consilier inginer mecanic
214434	expert inginer mecanic
214435	inspector de specialitate inginer mecanic
214436	referent de specialitate inginer mecanic
214437	proiectant inginer aeronave
214438	proiectant inginer mecanic
214439	inginer pilot de incercare
